fold,val_f1,val_auc
1,0.9319574118798151,0.9659478552897306
2,0.9367157715955285,0.9758991867829556
3,0.9408756509951071,0.9775254891883517
4,0.9291272228874589,0.9687290944618512
5,0.9374270860587471,0.9756001652491624
6,0.9463591464305927,0.9790010598834129
7,0.9333086940480412,0.9308692741159981
8,0.9325498468925361,0.9753282242537256
9,0.942201493315216,0.9713156922377284
10,0.9270744858350295,0.9705503823150883
