train_loss,val_loss,train_acc,val_acc,val_f1,val_auc
0.7797824547579331,0.4778588734541562,0.7542975017190007,0.770446735395189,0.7703803659481072,0.855398872943462
0.40130529454734587,0.4291955039673245,0.8229811291924517,0.7910652920962199,0.7868715232838943,0.9128477642176558
0.2237202895544677,0.2904752645807987,0.9115287646115059,0.8852233676975945,0.8852275966176879,0.9494317473155872
0.08474891217602921,0.26695308240828236,0.9727251890900757,0.9127147766323024,0.9126131777350222,0.9639035765714351
0.0296024443923662,0.3069479940683162,0.9920543968217588,0.9147766323024055,0.9147402923606923,0.9645385380013077
0.005075639802759044,0.3768138307297148,0.99977079990832,0.9182130584192439,0.9181015798074438,0.9705470495080939
0.0014563588760043255,0.3834752462237843,0.99992359996944,0.9161512027491409,0.9160235562939046,0.9713681529047595
0.00047312608348376166,0.39029341711249854,1.0,0.9216494845360824,0.9215950184665912,0.9718765000018899
0.00025495905765634397,0.4246699941914234,1.0,0.9154639175257732,0.9153572663700622,0.9718755551188096
0.00016726524471120846,0.4593095522591543,1.0,0.9127147766323024,0.9125770971082627,0.9718254763155608
0.00012169514623708541,0.45637141639443557,1.0,0.9161512027491409,0.9160495512032409,0.9719757127253074
8.96153138374821e-05,0.4779451858838764,1.0,0.9147766323024055,0.9146648325321874,0.971692247801257
6.814305466225012e-05,0.4851641583333234,1.0,0.9147766323024055,0.9146733143377203,0.9716686257242529
5.229681318652081e-05,0.503521775008144,1.0,0.9134020618556701,0.9132884588633517,0.9714484679665738
4.1399776746063405e-05,0.5063149639386908,1.0,0.9168384879725086,0.9167335709819312,0.9714947672375019
3.275551228161662e-05,0.5261928396912362,1.0,0.9161512027491409,0.9160412062010233,0.9715032711852237
2.6424257110653687e-05,0.530737352053014,1.0,0.9147766323024055,0.914656025586476,0.9715259483791475
2.1621687865639694e-05,0.5348846272623832,1.0,0.9168384879725086,0.9167335709819312,0.9714409089019326
1.7855368156606313e-05,0.5376469493330748,1.0,0.9168384879725086,0.9167335709819312,0.9714966570036624
1.4638571339341944e-05,0.5553995216436544,1.0,0.9168384879725086,0.916716383179799,0.9714144521756878
